0x8056c7d2 IopFreeDCB
0x804ffbb6 KiQuantumEnd
0x8063bbac PiControlHaltDevice
0x80661c9c MiAllocateSpecialPool
0x80562284 FsRtlDissectName
0x8054ad50 KiContextSwapLock
0x80533712 ExAllocatePoolWithQuota
0x80552268 KiAmdK6Mtrr
0x80563a4e FsRtlIsHpfsDbcsLegal
0x80559914 PopFullWake
0x805a8b62 MmExtendSection
0x805e01c6 RtlFreeHotPatchData
0x80522b62 ObfDereferenceObject
0x806a1426 ExInitSystemPhase2
0x804fe068 ZwCreateEventPair
0x8053a8d0 IoFreeMapRegisters
0x8050e1b6 MmDeleteKernelStack
0x805c2a4a PspSetPrimaryToken
0x80542c06 MiAllocatePoolPages
0x804ee598 IoGetAttachedDeviceReference
0x8062ec46 CmpInitializeHive
0x80558608 MmUnusedSubsectionCount
0x804f6d8c KeQuerySystemTime
0x8055b040 ExpDebuggerWorkItem
0x805517a4 IopUniqueDeviceObjectNumber
0x805f2988 VdmPrinterStatus
0x804ff01c ZwSetSecurityObject
0x804f354a IopInvalidDeviceRequest
0x80614144 CcPfBootQueueEndTraceTimer
0x805597d0 ObpRemoveObjectList
0x806049f8 ExMapHandleToPointerEx
0x805c938a PsLookupProcessByProcessId
0x804e9d5a FsRtlFreeLockInfo
0x805b8222 ObDereferenceSecurityDescriptor
0x806ade00 CmpLoadOptions
0x8053a960 VidDisplayString
0x8054c2f8 Kd_CLASSPNP_Mask
0x80689a56 PpInitGetGroupOrderIndex
0x8058ef8e PiResizeTargetDeviceBlock
0x8054aaac ExpNumberOfPagedPools
0x8056a486 IoQueryFileDosDeviceName
0x8054a0d4 MmWsExpandThreshold
0x8055b034 ExpDebuggerProcessAttach
0x805e357c SepCreateImpersonationTokenDacl
0x80650982 VfQueryPerformanceCounter
0x804fdde8 ZwAccessCheckByTypeAndAuditAlarm
0x804fe770 ZwOpenSemaphore
0x804f6e28 KeEnableInterrupts
0x8056e38a NtCreateMailslotFile
0x80550034 CcMapDataNoWait
0x806775bc KdNumberOfSpecialCalls
0x8064e27c ViInsertPoolAllocation
0x804ec154 FsFilterFreeCompletionStack
0x804e8262 FsRtlNumberOfRunsInLargeMcb
0x80654704 VfIrpFree
0x805299f0 RtlDelete
0x8055b3e0 KdDumpEnableOffset
0x804d7e24 GUID_DEVCLASS_INFRARED
0x80657ea0 VfpPacketNotificationCallback
0x80552cdc KiMXCsrMask
0x804ff790 KeSwitchKernelStack
0x8056c0ce NtQueryAttributesFile
0x80559b80 PopSIdle
0x80514c9a MiMarkImageMappedInSystemSpace
0x804e121e CcFindBitmapRangeToClean
0x8059349e IopIrqInitialize
0x804fe9b4 ZwQueryInformationThread
0x8063e1a4 OpcodeHLTV86
0x8052a602 RtlpVerCompare
0x80628970 CmLoadKey
0x804f735c KeReadStateProcess
0x806221e2 CmpReportNotifyHelper
0x805886bc PpIrpQueryResourceRequirements
0x80658308 VfGenericVerifyNewRequest
0x80553b30 ___PchSym_
0x8054ad64 KiProfileLock
0x804f68de KdPollBreakIn
0x805581f0 MmSystemDriverPage
0x80528d04 RtlNumberOfSetBits
0x8054c32c Kd_MOUCLASS_Mask
0x80671ee8 PspFixedQuantums
0x805af93a MmHotPatchRoutine
0x8059a428 NtCreateWaitablePort
0x80533f0a ExExtendZone
0x8054c408 Kd_DMSERVER_Mask
0x80579734 IoInitializeRemoveLockEx
0x806383c0 CmCheckRegistry
0x80506a66 MmMapLockedPages
0x805929b8 PnPBiosGetBiosInfo
0x8057eff2 IoReportTargetDeviceChange
0x804d7620 _imp__VidCleanUp
0x80589f04 IopDestroyDeviceNode
0x806011e8 WmipUpdateRemoveGuid
0x80626c3a CmpFindControlSet
0x8059b836 LpcpInitializePortQueue
0x805be178 NtSetThreadExecutionState
0x8062244c CmpLockKCBTree
0x80672930 UdpIpGuid
0x805bef7c PopApplyPolicy
0x8055a150 PspShutdownThread
0x80535604 sin
0x8053a77c _decomp
0x804fe568 ZwLockFile
0x8055a1b0 PspQuotaLock
0x806131a2 ArbTestAllocation
0x805d2784 RtlValidAcl
0x804fe428 ZwFsControlFile
0x8069c842 RtlInitializeRangeListPackage
0x80553f80 MmSharedUserDataPte
0x80654b2c VfIrpSendSynchronousIrp
0x80525430 PopCalculateBusyPercentage
0x805d1bb4 RtlInitializeUnicodePrefix
0x804ea742 FsRtlPrivateCancelFileLockIrp
0x8055c71c PsEmbeddedNTMask
0x80592cba PiProfileSendHardwareProfileCommit
0x8055f5c0 CcPinRead
0x804fea68 ZwQueryOpenSubKeys
0x8055b0b0 ExDelayedWorkerThreads
0x8062de52 HvpReleaseCellMapped
0x804e9e1a FsRtlUninitializeFileLock
0x8065b68e IovUtilGetBottomDeviceObject
0x80591b50 PipIsFirmwareMapperDevicePresent
0x8059687a KeQueryLogicalProcessorInformation
0x805d3002 RtlCreateAtomTable
0x805ba030 ObpCreateSymbolicLinkName
0x805692c8 IoGetConfigurationInformation
0x80585b2c PiMarkDeviceTreeForReenumerationWorker
0x8053fa54 V86_kitc_a
0x8055d988 ObpTypeMapping
0x80530028 INCREASE_MAPPED_TRANSFER_BYTE_COUNT
0x80692c18 LpcInitSystem
0x80559b6c PoHiberInProgress
0x804f733a KeReleaseInterruptSpinLock
0x805023e4 VerifierAllocatePoolWithQuota
0x80650402 VfInjectDmaFailure
0x804fa680 KiAbiosGetGdt
0x8068be48 MapperFreeList
0x806a18ea ExpSemaphoreInitialization
0x804d7710 _imp_ExReleaseFastMutex
0x8067251c szDaylightBias
0x805f6a92 WmipStartLogger
0x8052cfac RtlpTraceDatabaseAllocate
0x8052a3be RtlDeleteElementGenericTableAvl
0x805dfcb8 LdrProcessRelocationBlockLongLong
0x80603c5e ExpAllocateLowLevelTable
0x80558700 MmSectionBasedMutex
